frame,x1,y1,x2,y2,confidence,class_id
943,0,216,100,479,0.8702360987663269,0
944,0,216,100,479,0.8682155013084412,0
945,0,216,100,479,0.8676190972328186,0
946,0,216,100,479,0.8675171732902527,0
947,0,216,100,479,0.8672577738761902,0
948,0,216,94,479,0.792720377445221,0
949,0,216,98,478,0.6615552306175232,0
1002,0,215,144,479,0.8695895671844482,0
1003,0,215,150,479,0.8572026491165161,0
1004,3,215,158,479,0.8075375556945801,0
1005,15,216,189,480,0.7783434391021729,2
1006,32,216,204,480,0.807246744632721,2
1007,49,217,217,480,0.8173907995223999,2
1008,65,217,233,480,0.8143855929374695,2
1009,81,217,252,479,0.8382411003112793,2
1010,103,216,277,479,0.7825977206230164,2
1011,124,213,300,480,0.7899868488311768,2
1012,143,215,318,480,0.8304500579833984,2
1013,156,217,332,479,0.8256440758705139,0
1014,170,219,341,479,0.8440307378768921,0
1015,175,220,347,479,0.8525469899177551,0
1016,179,217,349,480,0.8700531721115112,0
1017,180,217,349,480,0.8764019012451172,0
1018,178,217,347,480,0.8686865568161011,0
1019,172,218,343,480,0.8581040501594543,0
1020,169,220,338,479,0.8709976673126221,0
1021,157,218,333,480,0.8617018461227417,0
1022,150,221,328,480,0.87489253282547,0
1023,148,219,324,480,0.8638588786125183,0
1024,144,218,321,480,0.8608874678611755,0
1025,142,217,319,480,0.8754727840423584,0
1026,144,217,319,480,0.8651058673858643,0
1027,145,218,322,480,0.86765056848526,0
1028,151,219,325,480,0.8741106390953064,0
1029,152,220,329,480,0.8716531991958618,0
1030,159,220,333,480,0.8636000752449036,0
1031,164,219,335,480,0.8579716682434082,0
1032,171,218,338,480,0.8641481995582581,0
1033,176,218,341,480,0.8621306419372559,0
1034,177,217,347,480,0.8682308197021484,0
1035,181,217,351,480,0.8735941052436829,0
1036,187,218,355,479,0.8719466328620911,0
1037,192,216,362,480,0.8722352385520935,0
1038,197,216,367,480,0.852354884147644,0
1039,205,217,377,480,0.8562317490577698,0
1040,212,217,387,479,0.8495909571647644,0
1041,225,214,399,480,0.7885389924049377,0
1042,240,216,415,480,0.8365328907966614,2
1043,256,216,433,480,0.8206834197044373,2
1044,273,218,453,480,0.8457260727882385,2
1045,289,215,472,480,0.8089239597320557,2
1046,313,198,495,480,0.7991958856582642,2
1047,336,199,513,480,0.8245508074760437,2
1048,351,209,528,480,0.8320276141166687,2
1049,361,212,539,479,0.7718598246574402,0
1050,368,216,545,479,0.8640708327293396,0
1051,370,216,549,479,0.8616238832473755,0
1052,373,216,551,480,0.8782661557197571,0
1053,373,215,550,480,0.8827328681945801,0
1054,369,216,547,480,0.876928985118866,0
1055,365,216,544,480,0.8720316886901855,0
1056,364,216,540,480,0.8669499754905701,0
1057,359,216,537,479,0.8801413774490356,0
1058,358,215,535,479,0.8808369040489197,0
1059,355,216,534,479,0.8787801861763,0
1060,355,216,532,479,0.8746118545532227,0
1061,355,217,532,479,0.8776180148124695,0
1062,355,216,532,479,0.8812164664268494,0
1063,356,216,533,479,0.8840623497962952,0
1064,357,216,535,479,0.8814299702644348,0
1065,358,215,535,480,0.8852151036262512,0
