frame,track_id,x1,y1,x2,y2,class_id,confidence
936,3.0,0,215,99,479,0,0.8838977813720703
937,3.0,0,217,99,479,0,0.8807279467582703
938,3.0,0,216,100,479,0,0.868217945098877
939,3.0,0,216,101,479,0,0.8747355341911316
940,3.0,0,216,100,479,0,0.8726414442062378
943,4.0,0,216,100,479,0,0.8702360987663269
944,4.0,0,216,100,479,0,0.8682155013084412
945,4.0,0,216,100,479,0,0.8676190972328186
946,4.0,0,216,100,479,0,0.8675171732902527
947,4.0,0,216,100,479,0,0.8672577738761902
948,4.0,0,216,94,479,0,0.792720377445221
949,4.0,0,216,98,478,0,0.6615552306175232
950,4.0,0,214,102,479,0,0.3873050808906555
951,4.0,0,213,120,479,0,0.44071629643440247
971,4.0,0,220,101,479,0,0.541164219379425
972,4.0,0,216,100,479,0,0.40244266390800476
976,4.0,0,214,101,480,0,0.5534254908561707
977,4.0,0,159,101,480,0,0.5865799784660339
978,4.0,0,183,102,479,0,0.5133962631225586
988,4.0,0,221,104,479,0,0.5901122689247131
989,4.0,0,219,107,479,0,0.35979822278022766
995,4.0,0,217,111,479,0,0.7533125877380371
996,4.0,0,216,113,479,0,0.8276336789131165
997,4.0,0,217,114,479,0,0.8442255258560181
998,4.0,0,216,120,479,0,0.8731991648674011
999,4.0,0,216,127,480,0,0.8926959037780762
1000,4.0,0,215,130,479,0,0.8835893273353577
1001,4.0,0,215,136,480,0,0.88322913646698
1002,4.0,0,215,144,479,0,0.8695895671844482
1003,4.0,0,215,150,479,0,0.8572026491165161
1004,5.0,3,215,160,480,2,0.7775200605392456
1004,4.0,3,215,158,479,0,0.8075375556945801
1005,5.0,15,216,189,480,2,0.7783434391021729
1005,4.0,15,215,171,479,0,0.7491293549537659
1006,5.0,33,215,201,480,0,0.8041846752166748
1006,4.0,32,216,204,480,2,0.807246744632721
1007,5.0,49,217,217,480,2,0.8173907995223999
1007,4.0,50,216,212,479,0,0.6743351817131042
1008,4.0,65,217,233,480,2,0.8143855929374695
1009,4.0,81,217,252,479,2,0.8382411003112793
1010,4.0,103,216,277,479,2,0.7825977206230164
1011,4.0,124,213,300,480,2,0.7899868488311768
1012,4.0,143,215,318,480,2,0.8304500579833984
1013,4.0,156,217,332,479,0,0.8256440758705139
1014,4.0,170,219,341,479,0,0.8440307378768921
1015,4.0,175,220,347,479,0,0.8525469899177551
1016,4.0,179,217,349,480,0,0.8700531721115112
1017,4.0,180,217,349,480,0,0.8764019012451172
1018,4.0,178,217,347,480,0,0.8686865568161011
1019,4.0,172,218,343,480,0,0.8581040501594543
1020,4.0,169,220,338,479,0,0.8709976673126221
1021,4.0,157,218,333,480,0,0.8617018461227417
1022,4.0,150,221,328,480,0,0.87489253282547
1023,4.0,148,219,324,480,0,0.8638588786125183
1024,4.0,144,218,321,480,0,0.8608874678611755
1025,4.0,142,217,319,480,0,0.8754727840423584
1026,4.0,144,217,319,480,0,0.8651058673858643
1027,4.0,145,218,322,480,0,0.86765056848526
1028,4.0,151,219,325,480,0,0.8741106390953064
1029,4.0,152,220,329,480,0,0.8716531991958618
1030,4.0,159,220,333,480,0,0.8636000752449036
1031,4.0,164,219,335,480,0,0.8579716682434082
1032,4.0,171,218,338,480,0,0.8641481995582581
1033,4.0,176,218,341,480,0,0.8621306419372559
1034,4.0,177,217,347,480,0,0.8682308197021484
1035,4.0,181,217,351,480,0,0.8735941052436829
1036,4.0,187,218,355,479,0,0.8719466328620911
1037,4.0,192,216,362,480,0,0.8722352385520935
1038,4.0,197,216,367,480,0,0.852354884147644
1039,4.0,205,217,377,480,0,0.8562317490577698
1040,4.0,212,217,387,479,0,0.8495909571647644
1041,4.0,225,214,399,480,0,0.7885389924049377
1042,4.0,240,216,415,480,2,0.8365328907966614
1043,4.0,256,216,433,480,2,0.8206834197044373
1044,4.0,273,218,453,480,2,0.8457260727882385
1045,4.0,289,215,472,480,2,0.8089239597320557
1046,4.0,313,198,495,480,2,0.7991958856582642
1047,4.0,336,199,513,480,2,0.8245508074760437
1048,4.0,350,207,526,480,0,0.4501647651195526
1049,4.0,361,212,539,479,0,0.7718598246574402
1050,4.0,368,216,545,479,0,0.8640708327293396
1051,4.0,370,216,549,479,0,0.8616238832473755
1052,4.0,373,216,551,480,0,0.8782661557197571
1055,7.0,365,216,544,480,0,0.8720316886901855
1056,7.0,364,216,540,480,0,0.8669499754905701
1057,7.0,359,216,537,479,0,0.8801413774490356
1058,7.0,358,215,535,479,0,0.8808369040489197
1059,7.0,355,216,534,479,0,0.8787801861763
1060,7.0,355,216,532,479,0,0.8746118545532227
1061,7.0,355,217,532,479,0,0.8776180148124695
1062,7.0,355,216,532,479,0,0.8812164664268494
1063,7.0,356,216,533,479,0,0.8840623497962952
1064,7.0,357,216,535,479,0,0.8814299702644348
1065,7.0,358,215,535,480,0,0.8852151036262512
1066,7.0,358,216,536,480,0,0.8822026252746582
1067,7.0,356,216,535,479,0,0.880926787853241
1068,7.0,356,216,534,479,0,0.8790348768234253
1069,7.0,357,216,533,480,0,0.8781540393829346
1070,7.0,354,217,533,479,0,0.8826320171356201
1071,7.0,354,217,533,479,0,0.8820238709449768
1072,7.0,354,217,533,479,0,0.8798183798789978
1073,7.0,357,216,534,479,0,0.8768340945243835
1074,7.0,356,216,534,479,0,0.8814911246299744
1075,7.0,357,216,534,479,0,0.8796523213386536
1076,7.0,355,216,534,479,0,0.8800641894340515
1077,7.0,354,216,533,479,0,0.8816126585006714
1078,7.0,354,216,533,479,0,0.8798586130142212
1079,7.0,354,217,533,479,0,0.8799723982810974
1080,7.0,355,216,533,479,0,0.8792784810066223
1081,7.0,356,216,533,479,0,0.877412736415863
1082,7.0,355,216,533,479,0,0.8797764778137207
1083,7.0,356,216,534,479,0,0.8801177144050598
1084,7.0,355,216,534,479,0,0.8816993236541748
1085,7.0,355,216,533,479,0,0.8787459135055542
1086,7.0,356,216,531,479,0,0.8738385438919067
1087,7.0,353,215,530,479,0,0.8738616704940796
1088,7.0,354,215,528,480,0,0.8678905367851257
1089,7.0,352,215,526,480,0,0.8601837158203125
